gene,SRR16966869,SRR16966870,SRR16966871,SRR16966872,SRR16966873,SRR16966874
PF3D7_1366200,46.454,71.063,23.887,86.446,83.97,112.103
PF3D7_1366300,490.105,700.756,346.036,1063.811,789.327,1115.449
PF3D7_1366400,310.076,427.75,150.314,485.645,812.884,633.817
PF3D7_1366500,107.984,168.201,59.678,159.685,288.767,268.048
PF3D7_1366600,318.311,564.442,338.693,331.4,428.31,406.324
PF3D7_1366700,10.109,15.088,5.784,4.044,22.066,14.562
PF3D7_1366800,130.924,228.509,53.619,49.508,87.529,124.654
PF3D7_1366900,1596.311,2394.301,1452.158,2538.525,2795.713,2789.866
PF3D7_1367000,70.007,143.256,79.663,126.361,243.633,229.742
PF3D7_1367100,115.241,170.032,86.212,188.522,210.969,203.759
PF3D7_1367200,2.0,2.006,0.0,0.0,0.0,1.0
